Open,High,Low,Close,Adj Close,Volume
25200.0,25200.0,24602.55078125,24847.19921875,23833.341796875,33677
24790.0,25111.0,24330.0,24591.150390625,23587.7421875,29590
24500.0,24700.0,23529.44921875,23614.099609375,22650.556640625,41968
23800.0,24000.0,22532.599609375,22663.0,21738.263671875,72358
22977.650390625,23498.80078125,21825.0,21907.55078125,21013.640625,169813
21970.0,23175.0,21601.19921875,23021.599609375,22082.232421875,119344
23061.0,23388.0,22762.349609375,23262.80078125,22313.595703125,64706
23300.0,23399.0,22900.0,23176.349609375,22230.66796875,34167
23176.349609375,23449.0,22734.05078125,23356.0,22402.990234375,44616
23191.0,23899.0,22960.44921875,23817.75,22845.896484375,46614
24048.0,24266.5,23600.0,23760.599609375,22791.07421875,52568
23725.5,24023.900390625,23110.0,23361.19921875,22407.9765625,60637
23440.0,23559.80078125,23120.0,23265.75,22316.421875,32601
23345.0,23370.0,22851.80078125,22969.69921875,22032.453125,32584
22969.0,23340.05078125,22780.599609375,22954.19921875,22017.587890625,28852
22501.0,23083.900390625,22415.0,22590.55078125,21668.771484375,141081
22504.5,22860.0,22501.5,22808.849609375,21878.16796875,37842
22790.05078125,23325.0,22729.900390625,23172.94921875,22227.40625,32985
23324.80078125,23485.0,22605.05078125,22758.19921875,21829.576171875,51149
22849.0,22900.0,22313.0,22370.80078125,21457.98828125,25359
22370.80078125,22979.400390625,22350.0,22826.75,21895.333984375,25839
22985.0,23375.94921875,22622.900390625,23157.69921875,22212.78125,30436
23340.0,23493.849609375,22969.150390625,23370.0,22416.416015625,65841
23360.0,24171.25,23300.599609375,24039.05078125,23058.16796875,48386
24039.0,24560.849609375,23850.0,24201.44921875,23213.943359375,29121
24202.849609375,24448.0,24061.75,24234.55078125,23245.69140625,21635
24350.0,24350.0,24050.0,24177.099609375,23190.5859375,26142
24199.0,24625.0,23775.05078125,23881.599609375,22907.146484375,26574
23710.0,23985.400390625,23500.0,23570.099609375,22608.3515625,23385
23425.55078125,23793.80078125,23311.0,23609.650390625,22646.28515625,16211
23701.0,23962.0,23631.0,23713.44921875,22745.85546875,15183
24252.0,24580.0,23806.25,23990.0,23011.115234375,65302
24700.0,24700.0,21700.0,21971.099609375,21074.59765625,143444
21969.94921875,22222.0,21510.0,21970.30078125,21073.83203125,45941
22100.0,22424.599609375,21555.55078125,21627.650390625,20745.166015625,62090
21838.0,21838.0,20300.0,20566.099609375,19726.927734375,130582
20688.0,21402.0,20572.0,21282.150390625,20483.486328125,65511
21392.0,21617.05078125,21012.5,21541.650390625,20733.236328125,56968
21605.0,22493.30078125,21333.30078125,21996.099609375,21170.634765625,76735
21649.94921875,22280.0,21405.0,22168.5,21336.564453125,45766
22330.0,22657.650390625,22200.05078125,22487.0,21643.11328125,52767
22640.0,22688.94921875,22199.5,22287.349609375,21450.955078125,39440
22187.0,22575.19921875,22170.0,22246.5,21411.638671875,32964
22150.25,23150.0,22150.25,22898.5,22039.171875,46280
22999.0,23449.0,22746.25,23254.099609375,22381.42578125,72001
23250.0,23849.0,22950.0,23107.150390625,22239.990234375,44443
23065.0,23478.349609375,22900.0,23003.400390625,22140.130859375,28742
23123.0,23899.0,23085.150390625,23833.25,22938.83984375,41150
24000.0,24363.0,23860.0,24127.0,23221.56640625,50616
24149.0,24149.0,23810.150390625,23902.5,23005.494140625,18136
23965.0,24090.0,23526.0,23697.900390625,22808.5703125,31258
23878.650390625,23990.0,23529.69921875,23675.30078125,22786.818359375,20790
23823.599609375,23879.05078125,23380.0,23410.099609375,22531.56640625,12765
23669.849609375,23860.0,23425.0,23651.0,22763.4296875,16294
23650.0,23750.0,23345.0,23546.30078125,22662.66015625,16751
23650.0,23880.0,23500.05078125,23702.55078125,22813.04296875,19715
23600.0,23938.099609375,23385.0,23845.19921875,22950.341796875,25219
23815.0,25188.0,23658.05078125,24847.349609375,23914.884765625,38552
24951.05078125,25482.5,24519.55078125,24587.099609375,23664.400390625,47516
24686.94921875,25092.05078125,23657.69921875,24247.94921875,23337.974609375,76447
25088.0,25850.0,25007.55078125,25531.80078125,24573.65234375,39105
25698.5,25842.0,25039.599609375,25192.94921875,24247.509765625,37586
25349.0,25481.5,24555.650390625,24662.80078125,23737.265625,29745
24799.0,24820.0,24225.0,24439.599609375,23522.435546875,24153
24575.0,24650.0,23901.0,24012.19921875,23111.07421875,24018
24105.0,24449.94921875,23846.099609375,23976.05078125,23076.28125,17488
24100.05078125,24720.0,23800.0,24576.80078125,23654.48828125,20815
24550.0,24550.0,23700.0,23818.69921875,22924.8359375,41116
23821.0,24078.94921875,23425.0,23484.30078125,22602.986328125,33092
23500.0,23650.0,23028.05078125,23225.099609375,22353.51171875,33965
23399.0,24039.0,23305.0,23897.19921875,23000.390625,38872
24046.55078125,24150.0,23739.94921875,23836.599609375,22942.06640625,22865
23711.19921875,24123.0,23460.05078125,23585.900390625,22700.7734375,28508
23600.0,23689.0,22778.69921875,22907.80078125,22048.123046875,22248
23000.0,23488.0,22787.0,22892.75,22033.63671875,20325
23000.0,23680.0,22588.0,23585.5,22700.388671875,51694
23700.0,23749.94921875,23000.94921875,23101.44921875,22234.50390625,45954
23299.0,23351.0,22566.650390625,22997.150390625,22134.119140625,43067
22920.0,23306.0,22650.0,23091.849609375,22225.26171875,50727
22870.0,22994.5,22300.0,22437.5,21595.46875,24829
22430.0,22690.0,22100.5,22185.099609375,21352.541015625,24348
22010.0,22478.75,21700.0,21852.25,21032.181640625,31271
21988.80078125,22200.0,21701.5,21799.30078125,20981.224609375,24665
